Geo_FIPS,city,fipsstatecode,cbsa10,cbsaname10,year,overall_score,hc_score,dl_score,lag_overall,lag_hc,lag_dl,pntv_blk,pfb_blk_percent,pfb_nonblk,pntv_nwnb,ntv_blk,fb_blk,fb_nonblk,pop,nhwht,nhblk,hisp,asian,ppov,hinc,pnhwht,land_area_sqmiles,pop_density,cbsa_pntv_blk,bw_isolation,fbw_isolation,nbbw_isolation,fbbw_isolation,nbfbw_isolation
48201233701,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.0086314076828749,-0.0042457497042969,-0.0130170656614529,-0.2343791197429777,-0.3179629923846229,-0.1507952471013326,0.1023457862728062,0.0,0.3598609904430929,0.5417897480451781,589,0,2392,5755,468,555,4726,0,29.5395308427454,41045.0,0.0813205907906168,2.6672405,1966.4518,0.197508035500828,0.736925778145831,0.715050308589873,0.747518950232759,-0.0478089899460108,0.724949904998992
48201222503,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.4056756347253329,-0.6331254774307518,-0.1782257920199141,-0.379512687429615,-0.4563187605908048,-0.3027066142684252,0.0351817944023018,0.0,0.4300287732147528,0.5,269,0,3423,7646,382,269,6954,41,50.0130787339786,30011.0,0.0499607637980643,0.65905711,10035.549,0.197508035500828,0.391134856701737,0.814179439618568,0.415406973489075,0.144016254243874,0.817024038275674
48201222401,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.190617337574108,-0.5295985472671915,0.1483638721189753,-0.3365789653765263,-0.5499703169767808,-0.1231876137762718,0.0013153567905294,0.0019730351857941,0.4613613942781979,0.4666228214403157,4,6,1456,3041,227,10,2743,43,36.0954590652967,32096.0,0.0746464978625452,1.9519338,1896.0684,0.197508035500828,0.022535293898539,0.706588447881025,0.0594398318698942,-0.0064579334940204,0.714999365888365
48201222501,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.4588092588683425,-0.5203030376960209,-0.3973154800406641,-0.3588382886950682,-0.4697585400876525,-0.2479180373024839,0.0114327414254439,0.0277304792021405,0.5023108732668451,0.4563366577475067,47,114,2289,4111,93,47,3932,27,45.4612728169709,25909.0,0.0226222330333252,0.35114873,8144.697,0.197508035500828,0.369588761102398,0.826818981340804,0.407103994521179,0.0269206692997584,0.831972696207536
48201533701,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2308146342070033,-0.3418409120149167,-0.11978835639909,-0.3251596853342154,-0.5728858297139618,-0.077433540954469,0.126597376043619,0.0,0.3433293576418469,0.5387629919918214,743,0,2210,5869,186,709,4764,210,34.1966263417959,29177.0,0.0316919407054012,3.3877809,1681.0414,0.197508035500828,0.694192966780143,0.807185506432011,0.707135057174259,0.184061922185893,0.808812661459653
48201220700,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2707870662194885,-0.309235718290371,-0.232338414148606,-0.22746645089921,-0.2376370899268717,-0.2172958118715483,0.2387402088772846,0.004242819843342,0.2619125326370757,0.4663838120104439,1463,26,1812,6128,356,1489,4283,0,45.5939947780679,23673.0,0.0580939947780678,1.6071302,3930.6087,0.197508035500828,0.482347418820075,0.732290917206465,0.497679148099274,-0.0195934322425175,0.740679569892471
48201220800,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2735084644246536,-0.4499620537672843,-0.0970548750820229,-0.2561897014468897,-0.3470632097721589,-0.1653161931216205,0.3859857482185273,0.0157363420427553,0.1849762470308788,0.4109263657957244,1300,53,690,3368,75,1329,1950,0,51.5736342042755,24474.0,0.0222684085510688,0.69441673,4736.349,0.197508035500828,0.83328371902699,0.735711728189016,0.839442509067853,0.0625340488859306,0.740871555412237
48201220900,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.3227638956439086,-0.4441050998471572,-0.20142269144066,-0.3073667972314622,-0.3630999396697006,-0.2516336547932238,0.196100278551532,0.0,0.2857938718662953,0.5743732590529248,352,0,549,1795,33,352,1410,0,26.5738161559889,38304.0,0.0183844011142061,0.60943062,3038.9021,0.197508035500828,0.605316904637828,0.687732761331473,0.613301719352023,0.00083661732065087,0.696110473093858
48201221000,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.3323687529131416,-0.3805515641814841,-0.2841859416447992,-0.2881411172673325,-0.2500351029796415,-0.3262471315550235,0.0753880266075388,0.0039418576003941,0.2939147573293915,0.6491746735649174,306,16,1224,4059,269,322,3459,0,38.4084749938408,36835.0,0.0662724809066272,0.95738397,4216.699,0.197508035500828,0.30180431922212,0.658235440288261,0.314753230770488,-0.0391012029569646,0.669353341820746
48201221100,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.3569565170586633,-0.2581141257849519,-0.4557989083323747,-0.2426463342815759,-0.259460723834973,-0.2258319447281787,0.0036191536748329,0.0033407572383073,0.4056236080178174,0.5439866369710468,13,12,1671,3592,325,25,3132,0,41.6202672605791,28399.0,0.090478841870824,1.1819329,3044.1661,0.197508035500828,0.0511928230428709,0.717839629590554,0.0806640984854737,-0.0582385631770401,0.728038051187191
