tract_fips10,stores,restaurants,bank_count,civsoc_orgs,religious_orgs,doctors,grocery_stores,libraries,he_green,he_walk,stops_per_capita,ed_prxhqece,ed_teachxp,job_density_2013,se_jobprox,high_skill_jobs,jobs_highpay_5mi_2015
36061013900,36,45,2,15,7,129,22,0,79.5,10.791242,0,4.05126,44.843189,108857.14,8.863781,5828,1692818
36061014000,25,24,1,15,6,183,16,0,83.099998,17.243191,0.12391574,3.9901214,35.785324,42159.422,3.5705307,1420,1500467
36061014200,64,13,3,17,12,206,6,2,80.599998,16.86132,0.47801147,4.0112352,36.173229,81463.773,4.2811842,4281,1514459
36061014401,11,8,1,9,1,29,3,0,80.800003,11.679151,0,3.9030318,32.15086,24827.588,6.5337,565,1449256
36061014402,13,12,2,9,4,41,15,0,56.299999,12.533783,0,3.8845174,25.049635,12179.104,9.9579935,441,1404660
36061014500,40,14,3,12,5,147,8,1,73.300003,13.482357,0,4.0285196,44.986343,319739.13,4.3375397,19407,1687927
36061014601,23,25,2,3,2,33,11,0,88.199997,15.206161,0.269324,3.9380867,25.164215,73000,13.488677,1050,1442479
36061014602,19,24,1,6,5,29,5,0,81.099998,10.891343,0.38080731,3.9105899,25,30571.43,6.0651846,588,1401024
36061014700,2,1,0,1,0,4,2,1,89,13.667,0,4.0368214,44.529873,35000,2.5483305,1094,1683799
36061014801,19,6,2,3,3,56,4,0,85.099998,16.659327,0.38624952,3.9275846,29.851519,79350,7.075767,790,1456374
36061014802,30,12,3,9,3,125,7,1,81.300003,16.81922,0,3.9159522,25,55000,6.619916,1304,1399246
36061014900,8,27,1,13,9,33,3,3,81,13.947782,0.37957867,4.0254049,40.990444,131895.52,8.0912094,5734,1652292
36061015001,13,4,2,5,3,110,0,0,79.400002,17.358433,0,3.9318256,35.719673,52100,11.244541,559,1454844
36061015002,29,3,2,22,6,178,3,1,75.599998,16.159369,0,3.9253428,36.529179,63854.168,14.682327,1971,1403044
36061015100,10,4,1,1,1,13,4,0,44.299999,14.850357,0,4.013041,38.349972,8488.7217,8.2307692,1905,1644488
36061015200,11,15,0,4,0,31,9,1,18,10.083696,0,3.8622417,25,21974.682,12.697964,1114,1365334
36061015300,47,30,3,23,10,63,19,1,80,14.546082,0,4.0056763,39.343903,101850.74,7.6831684,6651,1602039
36061015400,34,36,2,6,5,42,18,1,76.300003,11.746272,0.07566013,3.8690946,25,32985.293,18.4,1134,1379684
36061015500,20,8,1,8,4,84,4,0,32.599998,12.036926,0,3.9627759,45.392593,12087.5,2.9041431,987,1568171
36061015601,10,4,0,4,2,18,5,0,84.599998,10.507084,0,3.9202621,25,31285.713,10.022909,693,1364817
36061015602,3,1,0,4,0,10,3,0,73.699997,13.333,0.47460845,3.9313333,25,13285.715,11.607142,2795,1355782
36061015700,48,40,5,17,11,113,15,1,79.699997,14.376016,0.1911315,4.0055466,48.70858,64071.43,4.2901292,1890,1552022
36061015801,16,10,0,12,2,85,10,1,81.400002,15.948164,0.18825301,3.919112,28.090044,34448.98,2.7522936,558,1367113
36061015802,3,4,0,2,1,5,5,0,85.800003,16.034857,0,3.9427001,33.605919,18000,8.6907024,210,1365079
36061015900,28,10,3,14,15,71,13,0,50.900002,13.953255,0,3.9745307,44.712879,43970.586,6.2309451,1119,1540850
